event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX always watched,"[""none""]","[""none""]","[""none"", ""none"", ""none""]","[""peeper"", ""consistant"", ""happy"", ""smart""]","[""they go blind"", ""they get an eye infection""]","[""to know the daily news""]","[""none"", ""to watch something"", ""to get hooked on a program"", ""none""]","[""relaxed""]","[""to understand it"", ""to watch it some more"", ""to watch reruns"", ""to watch something else"", ""to be attentive"", ""to be entertained""]","[""always"", ""watched""]",trn
PersonX always watched ___,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none""]","[""comfortable"", ""anxious"", ""lazy"", ""boring.""]","[""eyes hurt"", ""gets tired"", ""gains weight"", ""laughs out loud""]","[""to improve his knowledge and productivity"", ""to be informed"", ""to learn something"", ""to be entertained""]","[""turns tv on"", ""finds a place to sit down"", ""none""]","[""confident"", ""empowered"", ""comfortable"", ""curious"", ""upset""]","[""goes to bed"", ""falls asleep"", ""to keep their habits"", ""to stay comfortable""]","[""always"", ""watched""]",trn
PersonX applies for a credit card,"[""none"", ""none""]","[""sad"", ""none""]","[""none""]","[""desperate"", ""savvy"", ""mature"", ""responsible"", ""responsible"", ""thrifty""]","[""none"", ""learns about their credit score"", ""receives junk email""]","[""to spend lavishly"", ""to have credit"", ""to buy things""]","[""to gather personal information"", ""to pick out a suitable card""]","[""happy"", ""excited"", ""nervous""]","[""to use the credit card"", ""to activate the credit card""]","[""applies"", ""credit""]",trn
PersonX asks PersonY for money,"[""none"", ""TO BE CHEERFUL"", ""TO BE HONEST"", ""PersonY refuses to lend money"", ""PersonY lends money""]","[""happy and satisfied"", ""broke"", ""helpful""]","[""To leave personx"", ""to avoid personx"", ""to check if they have the money"", ""to tell PersonX to go look for a job"", ""to tell PersonX to come back another day"", ""none""]","[""lazy"", ""tired"", ""needy"", ""poor"", ""poor"", ""broke""]","[""PersonX gets reimbursed"", ""PersonX is paid back"", ""TO ENJOY"", ""TO BE HAPPY"", ""PersonX gets money"", ""PersonX does not get any money""]","[""to pay the fees"", ""to pay their bills"", ""to pay their bills""]","[""To notice they are out of money"", ""find personY"", ""to go to PersonY"", ""to think of a reason for wanting the money"", ""to check wallet"", ""to make phone call to PersonY""]","[""thankful"", ""grateful"", ""relief""]","[""To purchase food"", ""to pocket money"", ""to go pay bills"", ""to thank PersonY"", ""to go to someone else to ask for money"", ""to sign a payback agreement"", ""to keep money in wallet"", ""to say thanks to PersonY""]","[""asks"", ""money""]",tst
PersonX asks PersonY to forgive,"[""forgives person X"", ""smiles"", ""frowns"", ""says no"", ""They are pleaded with."", ""Has a decision to make.""]","[""none""]","[""to be objective"", ""to make amends"", ""to repent"", ""to feel better"", ""to forgive PersonX"", ""to tell PersonX to pray""]","[""repentant"", ""submissive"", ""apologetic"", ""humble""]","[""pleads"", ""Person X pleads."", ""They are frowning.""]","[""to seek forgiveness""]","[""to do wrong to someone"", ""to make amends"", ""to get PersonY's attention"", ""to talk to PersonY"", ""to have hurt PersonY"", ""to have gone to church""]","[""relieved""]","[""to repair friendship"", ""receive forgiveness"", ""to help PersonY repent"", ""to make PersonY feel better"", ""to repent"", ""to promise PersonY never to do it again""]","[""asks"", ""forgive""]",trn
PersonX asks PersonY to get,"[""PersonY is inconvenienced."", ""PersonY goes out of their way."", ""none"", ""none""]","[""urge"", ""helpful""]","[""to help"", ""to be of assistance""]","[""persuasive"", ""social"", ""Demanding"", ""Lazy"", ""dominant"", ""vocal""]","[""PersonX is pleased."", ""PersonX is not inconvenienced."", ""person x may get"", ""person x has the change to get"", ""none""]","[""something"", ""to have help obtaining something""]","[""none""]","[""relaxed"", ""waiting to receive something"", ""satisfied""]","[""to get some help"", ""to Y to get something for them""]","[""asks"", ""get""]",trn
PersonX asks PersonY to give,"[""Person Y losses money for Person X"", ""Person Y went back to home."", ""Ask why"", ""Gives""]","[""selfish"", ""reluctant""]","[""to avoid him"", ""to refuse him"", ""give to PersonX"", ""ask PersonX why""]","[""inquisitive"", ""generous"", ""burdened"", ""poor""]","[""Person X lost wallet in home"", ""Person X wants to purchase some cakes"", ""Opens hand"", ""Receive""]","[""to be thoughtful"", ""to receive something""]","[""to meet him"", ""go near him"", ""talk to PersonY"", ""think about the favor""]","[""kind"", ""relieved""]","[""to convince him"", ""to coax him"", ""ask more people"", ""collect the donation""]","[""asks"", ""give""]",trn
PersonX asks PersonY to take,"[""takes"", ""says no"", ""none"", ""points at self"", ""asks questions""]","[""happy"", ""mad""]","[""to thank person X for giving it"", ""to take it home."", ""to accept"", ""to help"", ""to help him"", ""to escape from him""]","[""superior"", ""demanding"", ""social"", ""polite""]","[""has personY take"", ""gets denied"", ""none"", ""points at object"", ""smiles""]","[""to give sweet"", ""to help"", ""needy""]","[""to hold something with him to give"", ""to open his mouth to ask person Y"", ""have something that needs to be taken"", ""contact the person"", ""to call him"", ""to meet him""]","[""happy"", ""nothing""]","[""to hand overt the thing to person Y"", ""to clean the place"", ""give thanks"", ""a response"", ""to be free of responsibility"", ""to go on a vacation""]","[""asks"", ""take""]",trn
PersonX asks PersonY's forgiveness,"[""none"", ""forgives Person X"", ""talks to Person X""]","[""simpathetic"", ""happy"", ""relieved"", ""happy""]","[""gets calm"", ""gets happy"", ""to forgive him"", ""to support him"", ""none""]","[""humble"", ""conflicted"", ""penitential"", ""remorseful""]","[""patches relationship with persony"", ""gets a handshake from persony"", ""none""]","[""to be accepted by persony"", ""to stop feeling remorse"", ""make amends"", ""to be forgiven""]","[""none"", ""to call her"", ""to meet him"", ""to have hurt PersonY"", ""to have sinned""]","[""relieved"", ""better about the relationship"", ""happy"", ""glad"", ""less stressed""]","[""to forgive"", ""to give respect"", ""to continue their friendship"", ""to get help from him"", ""to start afresh"", ""to change their life and be good"", ""to get saved""]","[""asks"", ""forgiveness""]",trn
PersonX asks ___ for money,"[""the person that Person X asked for money goes to the bank"", ""the person that Person X asked for money has a lower net worth"", ""The parents give PersonX money in annoyance"", ""The Parents lose money"", ""hands over money"", ""says you're welcome""]","[""bothered"", ""disappointing"", ""needed"", ""bothered that they were asked to give money"", ""happy to help someone else""]","[""to give PersonX money"", ""to refuse"", ""none""]","[""greedy"", ""in need"", ""needy"", ""down and out"", ""needy"", ""entitled""]","[""Person X looks embarrassed"", ""Person X makes excuses"", ""PersonX gains money"", ""PersonX sweats from nervousness to ask for money"", ""gets money"", ""says thank you""]","[""to get money"", ""to get wealth"", ""to be able to pay for something needed""]","[""to approach someone"", ""to think of what to say"", ""none""]","[""positive"", ""humble"", ""powerless"", ""guilty that he or she needed to ask for money"", ""happy that he or she was given the money"", ""disappointed because he or she was not given the money""]","[""to ask for more money"", ""to express thanks"", ""to get a loan"", ""to get some help""]","[""asks"", ""money""]",tst
PersonX assesses the damage,"[""none""]","[""none"", ""none"", ""none""]","[""to express apologies"", ""to fix the damage"", ""tell person x what happened"", ""let person x do his job"", ""none""]","[""analytical"", ""pragmatic"", ""knowledgeable"", ""skilled""]","[""learns how severe the damage is"", ""estimates how much it would take to repair""]","[""to develop a solution"", ""to be attentive"", ""to learn what needs to be replaced""]","[""to get in an accident"", ""to gather the other driver's information"", ""get into car"", ""drive to disaster area"", ""notice the event"", ""be observant""]","[""concerned"", ""upset"", ""upset""]","[""to fix the damage"", ""to sue someone"", ""walk around"", ""look inside buildings"", ""come up with a plan"", ""notify someone""]","[""assesses"", ""damage""]",trn
PersonX attacks another ___,"[""gets injured"", ""receives wound"", ""none""]","[""none"", ""none""]","[""to run away"", ""to overcome PersonX"", ""to get away"", ""to run for help"", ""none""]","[""hostile"", ""aggressive"", ""mean"", ""unkind""]","[""gets hurt"", ""bitten by animal"", ""hurts hand"", ""gets punched"", ""gets arrested""]","[""to watch something interesting"", ""no nothings""]","[""to grab their weapon"", ""to run towards it"", ""to make a plan"", ""to jump out on someone"", ""to find the fort"", ""to buy weapons""]","[""happy"", ""unhappy""]","[""to overcome it"", ""to capture it"", ""to hurt someone"", ""to hold someone hostage"", ""to declare victory"", ""to hide""]","[""attacks"", ""another""]",trn
PersonX attacks the enemy 's ___,"[""loose the position."", ""is killed."", ""they are killed."", ""they are injured."", ""none""]","[""hurt"", ""upset"", ""angry"", ""afraid""]","[""to take revenge"", ""hurt them"", ""to attack back"", ""to reposition their camp""]","[""capable"", ""committed"", ""commanding"", ""determined"", ""Agressive"", ""War like""]","[""win the battle."", ""get arrested."", ""none"", ""Wins the war"", ""Loses the battle""]","[""cause damage to enemy"", ""to win""]","[""to ready their cannons"", ""to light the fuse"", ""to have the right ammunition"", ""to know where the enemy is"", ""to think of a strategy"", ""to load their weapons""]","[""violent"", ""upset"", ""angry"", ""brave""]","[""to win the war"", ""to achieve success"", ""to reload the cannon"", ""to reload his gun""]","[""attacks"", ""enemy""]",trn
PersonX badly burned,"[""none"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""rash"", ""impulsive"", ""incautious"", ""painful"", ""aching""]","[""Person X goes to the burn unit."", ""Person X vows to never quit."", ""Get treatment"", ""Lose the burns""]","[""none""]","[""to of been cooking"", ""to of touched the stove"", ""not paying attention"", ""to close to flame source"", ""put bonfire"", ""put hand in fire""]","[""hurt""]","[""clean it"", ""to make it feel ok"", ""treat the wound"", ""go to the hospital"", ""go to doctor"", ""apply cream""]","[""badly"", ""burned""]",trn
PersonX badly hurt,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""to call medical help"", ""to administer medical help"", ""to give PersonX comfort""]","[""clumsy"", ""incompetent"", ""violent"", ""mean"", ""needy"", ""weak""]","[""is taken to urgent care"", ""is given a blood transfusion"", ""PersonX feels pain"", ""PersonX is harmed"", ""they bleed"", ""they get infection""]","[""none"", ""none"", ""none""]","[""sit on bike"", ""ride the bike"", ""fall down"", ""to fall"", ""to play"", ""to get in an accident""]","[""pain"", ""hurt"", ""pain"", ""pain""]","[""stand up"", ""check the wound"", ""go to doctor"", ""to get medical help"", ""to rest""]","[""badly"", ""hurt""]",trn
PersonX bases upon data,"[""none"", ""none"", ""none""]","[""none""]","[""none"", ""none"", ""to read solution"", ""to help work on solution""]","[""methodical"", ""studious"", ""smart"", ""wise"", ""smart"", ""analytical""]","[""gets more accurate prediction"", ""is respected among colleagues"", ""forms an idea"", ""gathers information"", ""none""]","[""correct"", ""intelligent""]","[""research market"", ""create a machine learning"", ""to have raw data"", ""to have gone through the data"", ""to know how to read data"", ""to take on project"", ""to look at data""]","[""informed"", ""satisfied""]","[""predict the trend"", ""give demo and/or presentation"", ""to explain how the data works"", ""to manipulate the data"", ""to issue solution"", ""to work on solution""]","[""bases"", ""upon""]",trn
PersonX bears witness to the PersonY,"[""none"", ""none""]","[""vindicated""]","[""to thank person X"", ""to use what they were told for good"", ""to express gratitude"", ""to refute information""]","[""observant"", ""honest"", ""smart"", ""tired""]","[""none"", ""none""]","[""to be honest""]","[""none"", ""to gather evidence"", ""to have a relationship with PersonY""]","[""relieved""]","[""to help person Y"", ""to write down what they saw"", ""to continue supporting PersonY"", ""to leave""]","[""bears"", ""witness""]",trn
PersonX beats PersonX's brother,"[""injured"", ""avoids brother"", ""Gets injured"", ""Fights back"", ""bleeds"", ""cries""]","[""defeated"", ""hurt."", ""sad""]",[],"[""Bully"", ""Tuff"", ""competitive"", ""playful"", ""really disappointed with Brother attitude."", ""frustrated to beat his brother.""]","[""punished"", ""gets arrested"", ""disaproval"", ""Is remorseful"", ""Gets arrested"", ""yelled at"", ""punished""]","[""to win"", ""to be on top of the competition"", ""to be mean."", ""to win""]",[],"[""victorious after the win"", ""angry."", ""thrilled""]",[],"[""beats"", ""brother""]",trn
